Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL,name_key,PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,DRAFT_TEAM,ORGANIZATION,pick_bin,era,years_pro,SALARY_USD,SALARY_SEASON_LABEL,VORP_per_1M,WS_per_1M
Shareef Abdur-Rahim,27.0,2TM,PF,85.0,2684.0,19.9,8.1,0.145,6.1,2.0,1.6,2.3,-0.7,2.4,0.557,24.4,2004,2003-04,shareef abdur-rahim,949,Shareef Abdur-Rahim,1996,3,1,Vancouver,California,Top 5,Pre-Analytics,8,13500000.0,2003-04,0.17777777777777778,0.6
Theo Ratliff,30.0,2TM,C,85.0,2664.0,14.4,5.2,0.094,1.8,3.4,0.3,-2.0,2.3,1.5,0.521,13.2,2004,2003-04,theo ratliff,689,Theo Ratliff,1995,18,1,Detroit,Wyoming,Picks 15-30,Pre-Analytics,9,10156000.0,2003-04,0.14769594328475777,0.5120126033871603
Casey Jacobsen,23.0,2TM,SG,84.0,1798.0,10.3,2.7,0.071,2.0,0.7,-1.6,-1.0,-0.6,0.2,0.555,14.2,2005,2004-05,casey jacobsen,2418,Casey Jacobsen,2002,22,1,Phoenix,Stanford,Picks 15-30,Pre-Analytics,3,,,,
Michael Finley,23.0,2TM,SF,83.0,2790.0,14.5,3.9,0.067,2.3,1.6,0.3,1.0,-0.7,1.6,0.53,22.0,1997,1996-97,michael finley,714,Michael Finley,1995,21,1,Phoenix,Wisconsin,Picks 15-30,Pre-Analytics,2,,,,
James Posey,26.0,2TM,SF,83.0,2518.0,13.5,5.4,0.104,2.3,3.1,0.6,-0.5,1.0,1.7,0.519,18.1,2003,2002-03,james posey,1899,James Posey,1999,18,1,Denver,Xavier,Picks 15-30,Pre-Analytics,4,1723000.0,2002-03,0.9866511897852582,3.134068485200232
Josh Smith,29.0,2TM,PF,83.0,2300.0,14.9,2.3,0.048,-1.1,3.4,0.7,-0.6,1.2,1.6,0.467,24.8,2015,2014-15,josh smith,2746,Josh Smith,2004,17,1,Atlanta,Oak Hill Academy,Picks 15-30,Pre-Analytics,11,2077000.0,2014-15,0.7703418391911411,1.1073663938372653
Jarrett Jack,27.0,2TM,SG,83.0,1722.0,14.2,2.4,0.066,0.9,1.4,-0.7,-0.3,-0.4,0.5,0.503,23.0,2011,2010-11,jarrett jack,101127,Jarrett Jack,2005,22,1,Denver,Georgia Tech,Picks 15-30,Pre-Analytics,6,4600000.0,2010-11,0.10869565217391305,0.5217391304347826
Mikal Bridges,26.0,2TM,SG,83.0,2963.0,16.8,7.5,0.121,4.4,3.1,1.7,1.5,0.2,2.8,0.587,22.6,2023,2022-23,mikal bridges,1628969,Mikal Bridges,2018,10,1,Philadelphia,Villanova,Picks 6-14,Post-Analytics,5,20100000.0,2022-23,0.13930348258706465,0.3731343283582089
Ramon Sessions,27.0,2TM,PG,83.0,2214.0,16.0,4.3,0.094,3.1,1.2,-0.8,0.7,-1.5,0.7,0.539,22.7,2014,2013-14,ramon sessions,201196,Ramon Sessions,2007,56,2,Milwaukee,Nevada-Reno,Second Round,Pre-Analytics,7,5000000.0,2013-14,0.13999999999999999,0.86
Russell Westbrook,20.0,OKC,PG,82.0,2668.0,15.2,1.9,0.035,-0.1,2.0,-1.0,-0.1,-0.9,0.7,0.489,25.8,2009,2008-09,russell westbrook,201566,Russell Westbrook,2008,4,1,Oklahoma City,California-Los Angeles,Top 5,Pre-Analytics,1,3493680.0,2008-09,0.2003617961576332,0.5438391609992901
Stephon Marbury,27.0,NYK,PG,82.0,3281.0,21.9,11.7,0.171,10.4,1.3,4.2,4.9,-0.7,5.1,0.575,24.8,2005,2004-05,stephon marbury,950,Stephon Marbury,1996,4,1,Milwaukee,Georgia Tech,Top 5,Pre-Analytics,9,14625000.0,2004-05,0.3487179487179487,0.7999999999999999
Joe Johnson,23.0,PHO,SF,82.0,3240.0,15.1,7.6,0.112,5.8,1.7,0.9,1.5,-0.6,2.4,0.556,19.0,2005,2004-05,joe johnson,2207,Joe Johnson,2001,10,1,Boston,Arkansas,Picks 6-14,Pre-Analytics,4,2358000.0,2004-05,1.0178117048346056,3.2230703986429177
Kevin Garnett,28.0,MIN,PF,82.0,3121.0,28.2,16.1,0.248,10.1,6.0,9.5,6.5,3.0,9.1,0.567,27.1,2005,2004-05,kevin garnett,708,Kevin Garnett,1995,5,1,Minnesota,Farragut Career Academy,Top 5,Pre-Analytics,10,,,,
James Harden,26.0,HOU,SG,82.0,3125.0,25.3,13.3,0.204,10.7,2.6,6.6,6.4,0.2,6.8,0.598,32.5,2016,2015-16,james harden,201935,James Harden,2009,3,1,Oklahoma City,Arizona State,Top 5,Pre-Analytics,7,15756438.0,2015-16,0.431569622525091,0.8440994087623105
Derek Fisher,23.0,LAL,PG,82.0,1760.0,12.9,3.8,0.104,2.2,1.6,0.0,-0.3,0.3,0.9,0.533,14.1,1998,1997-98,derek fisher,965,Derek Fisher,1996,24,1,Los Angeles,Arkansas-Little Rock,Picks 15-30,Pre-Analytics,2,,,,
Tayshaun Prince,24.0,DET,SF,82.0,3039.0,16.2,9.4,0.149,5.4,4.0,2.1,1.4,0.7,3.1,0.556,18.8,2005,2004-05,tayshaun prince,2419,Tayshaun Prince,2002,23,1,Detroit,Kentucky,Picks 15-30,Pre-Analytics,3,,,,
Mike Conley,21.0,MEM,PG,82.0,2508.0,14.3,4.5,0.086,2.7,1.9,-0.3,0.0,-0.3,1.1,0.548,17.9,2009,2008-09,mike conley,201144,Mike Conley,2007,4,1,Memphis,Ohio State,Top 5,Pre-Analytics,2,3630480.0,2008-09,0.3029902382054164,1.2395055199312488
Andre Miller,23.0,CLE,PG,82.0,2093.0,17.9,5.3,0.122,3.5,1.8,1.9,1.9,0.0,2.1,0.517,21.8,2000,1999-00,andre miller,1889,Andre Miller,1999,8,1,Cleveland,Utah,Picks 6-14,Pre-Analytics,1,,,,
Linas Kleiza,24.0,DEN,SF,82.0,1824.0,13.2,3.6,0.095,2.1,1.5,-1.5,0.0,-1.5,0.2,0.552,20.0,2009,2008-09,linas kleiza,101132,Linas Kleiza,2005,27,1,Portland,Missouri,Picks 15-30,Pre-Analytics,4,1824493.0,2008-09,0.10961949429238699,1.9731508972629659
Jerome Williams,26.0,DET,PF,82.0,2102.0,17.9,7.6,0.174,4.6,3.0,1.2,1.7,-0.5,1.7,0.593,14.3,2000,1999-00,jerome williams,966,Jerome Williams,1996,26,1,Detroit,Georgetown,Picks 15-30,Pre-Analytics,4,,,,
Paul Pierce,27.0,BOS,SF,82.0,2960.0,21.8,11.2,0.182,7.7,3.6,4.6,4.0,0.7,4.9,0.583,26.6,2005,2004-05,paul pierce,1718,Paul Pierce,1998,10,1,Boston,Kansas,Picks 6-14,Pre-Analytics,7,,,,
Darius Miller,27.0,NOP,SF,82.0,1944.0,9.3,3.0,0.075,2.1,0.9,-1.9,-1.1,-0.8,0.1,0.617,12.8,2018,2017-18,darius miller,203121,Darius Miller,2012,46,2,New Orleans,Kentucky,Second Round,Post-Analytics,6,2100000.0,2017-18,0.047619047619047616,1.4285714285714286
Lance Stephenson,27.0,IND,SG,82.0,1850.0,12.4,1.8,0.046,-0.2,2.0,-1.8,-1.5,-0.3,0.1,0.495,21.6,2018,2017-18,lance stephenson,202362,Lance Stephenson,2010,40,2,Indiana,Cincinnati,Second Round,Post-Analytics,8,,,,
Andrew DeClercq,26.0,CLE,C,82.0,1831.0,11.4,2.9,0.077,0.6,2.3,-2.3,-2.9,0.6,-0.2,0.53,14.8,2000,1999-00,andrew declercq,692,Andrew DeClercq,1995,34,2,Golden State,Florida,Second Round,Pre-Analytics,5,,,,
Nick Young,23.0,WAS,SG,82.0,1837.0,13.1,1.2,0.03,1.2,-0.1,-3.3,-0.9,-2.5,-0.6,0.53,23.1,2009,2008-09,nick young,201156,Nick Young,2007,16,1,Washington,Southern California,Picks 15-30,Pre-Analytics,2,1602960.0,2008-09,-0.37430753106752507,0.7486150621350501
Patrick Patterson,28.0,OKC,PF,82.0,1270.0,10.0,2.6,0.098,1.2,1.4,-0.2,-1.2,1.0,0.6,0.555,10.8,2018,2017-18,patrick patterson,202335,Patrick Patterson,2010,14,1,Houston,Kentucky,Picks 6-14,Post-Analytics,8,5192000.0,2017-18,0.1155624036979969,0.5007704160246533
Jarrett Jack,25.0,IND,SG,82.0,2716.0,13.1,4.1,0.073,2.3,1.8,-1.4,-1.0,-0.5,0.4,0.554,18.5,2009,2008-09,jarrett jack,101127,Jarrett Jack,2005,22,1,Denver,Georgia Tech,Picks 15-30,Pre-Analytics,4,2002623.0,2008-09,0.1997380435558765,2.0473149464477336
Andre Iguodala,26.0,PHI,SF,82.0,3193.0,17.8,6.7,0.101,4.0,2.8,2.4,2.0,0.4,3.5,0.535,21.8,2010,2009-10,andre iguodala,2738,Andre Iguodala,2004,9,1,Philadelphia,Arizona,Picks 6-14,Pre-Analytics,6,12200000.0,2009-10,0.2868852459016394,0.5491803278688525
Kevin Durant,21.0,OKC,SF,82.0,3239.0,26.2,16.1,0.238,11.1,5.0,7.1,6.3,0.8,7.5,0.607,32.0,2010,2009-10,kevin durant,201142,Kevin Durant,2007,2,1,Seattle,Texas,Top 5,Pre-Analytics,3,4796880.0,2009-10,1.5635162855856308,3.356348293057154
Danté Exum,19.0,UTA,PG,82.0,1817.0,5.7,-0.1,-0.003,-1.1,1.0,-4.3,-3.6,-0.7,-1.1,0.457,13.8,2015,2014-15,dante exum,203957,Dante Exum,2014,5,1,Utah,Australian Institute of Sport (Australia),Top 5,Post-Analytics,1,3615000.0,2014-15,-0.3042876901798064,-0.027662517289073305
Jason Smith,28.0,NYK,C,82.0,1785.0,12.0,1.2,0.032,0.5,0.7,-3.8,-2.4,-1.4,-0.8,0.497,19.7,2015,2014-15,jason smith,201160,Jason Smith,2007,20,1,Miami,Colorado State,Picks 15-30,Pre-Analytics,8,3278000.0,2014-15,-0.24405125076266018,0.3660768761439902
Mason Plumlee,24.0,BRK,C,82.0,1743.0,18.0,4.8,0.131,2.5,2.3,0.1,-0.2,0.3,0.9,0.57,19.2,2015,2014-15,mason plumlee,203486,Mason Plumlee,2013,22,1,Brooklyn,Duke,Picks 15-30,Post-Analytics,2,1357080.0,2014-15,0.6631886108409232,3.537005924484923
Rasho Nesterović,23.0,MIN,C,82.0,1723.0,11.0,3.0,0.082,1.0,1.9,-2.6,-2.9,0.3,-0.2,0.492,14.4,2000,1999-00,rasho nesterovic,1725,Rasho Nesterovic,1998,17,1,Minnesota,Virtus Pallacanestro Bologna (Italy),Picks 15-30,Pre-Analytics,2,,,,
Tyler Zeller,25.0,BOS,C,82.0,1731.0,18.9,6.5,0.179,4.5,2.0,0.9,1.0,0.0,1.3,0.594,19.6,2015,2014-15,tyler zeller,203092,Tyler Zeller,2012,17,1,Dallas,North Carolina,Picks 15-30,Post-Analytics,3,1703760.0,2014-15,0.7630182654834015,3.815091327417007
Raymond Felton,33.0,OKC,PG,82.0,1365.0,13.0,2.2,0.078,0.9,1.3,-0.6,-0.3,-0.3,0.5,0.494,20.4,2018,2017-18,raymond felton,101109,Raymond Felton,2005,5,1,Charlotte,North Carolina,Top 5,Pre-Analytics,13,1471382.0,2017-18,0.339816580602454,1.4951929546507978
Tyus Jones,21.0,MIN,PG,82.0,1467.0,14.1,3.6,0.117,2.3,1.2,0.8,-0.8,1.7,1.1,0.572,12.7,2018,2017-18,tyus jones,1626145,Tyus Jones,2015,24,1,Cleveland,Duke,Picks 15-30,Post-Analytics,3,1471382.0,2017-18,0.7475964773253989,2.446679380337669
Nikola Mirotić,23.0,CHI,PF,82.0,1654.0,17.9,5.7,0.165,3.0,2.7,2.3,1.4,1.0,1.8,0.556,22.8,2015,2014-15,nikola mirotic,202703,Nikola Mirotic,2011,23,1,Houston,Real Madrid Baloncesto (Spain),Picks 15-30,Post-Analytics,4,5305000.0,2014-15,0.3393025447690858,1.0744580584354384
