Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL
Glen Rice,29.0,CHH,SF,79.0,3362.0,19.7,10.8,0.154,9.6,1.2,1.8,3.9,-2.1,3.2,0.605,26.9,1997,1996-97
Latrell Sprewell,26.0,GSW,SG,80.0,3353.0,19.7,8.1,0.115,7.0,1.1,2.7,3.8,-1.1,4.0,0.57,26.9,1997,1996-97
Juwan Howard,23.0,WSB,SF,82.0,3324.0,16.1,7.0,0.101,3.3,3.7,-0.3,0.1,-0.5,1.4,0.529,23.4,1997,1996-97
Damon Stoudamire,23.0,TOR,PG,81.0,3311.0,18.1,7.6,0.11,5.8,1.8,1.8,3.4,-1.6,3.1,0.516,25.3,1997,1996-97
Gary Payton,28.0,SEA,PG,82.0,3213.0,21.8,12.9,0.193,8.2,4.7,5.5,4.4,1.1,6.1,0.545,26.4,1997,1996-97
Kendall Gill,28.0,NJN,SF,82.0,3199.0,19.6,8.8,0.132,6.6,2.2,2.9,2.8,0.1,4.0,0.53,25.4,1997,1996-97
Chris Mills,27.0,CLE,SF,80.0,3167.0,14.1,8.9,0.134,4.1,4.7,1.1,0.3,0.8,2.5,0.544,17.5,1997,1996-97
Jerry Stackhouse,22.0,PHI,SG,81.0,3166.0,14.1,2.1,0.032,1.9,0.2,-2.2,-0.1,-2.2,-0.2,0.524,25.6,1997,1996-97
Vin Baker,25.0,MIL,PF,78.0,3159.0,20.1,8.3,0.127,4.9,3.4,2.0,2.1,-0.1,3.2,0.553,25.3,1997,1996-97
Grant Hill,24.0,DET,SF,80.0,3147.0,25.5,14.6,0.223,8.7,5.9,8.2,5.4,2.7,8.0,0.556,28.3,1997,1996-97
Anthony Mason,30.0,CHH,PF,73.0,3143.0,18.9,11.4,0.173,8.0,3.3,3.5,2.6,0.8,4.3,0.585,17.6,1997,1996-97
Christian Laettner,27.0,ATL,PF,82.0,3140.0,19.1,11.6,0.177,6.1,5.4,2.5,1.4,1.0,3.5,0.562,23.1,1997,1996-97
Tim Hardaway,30.0,MIA,PG,81.0,3136.0,20.8,12.9,0.198,7.9,5.0,6.2,5.2,1.0,6.5,0.532,26.6,1997,1996-97
Tom Gugliotta,27.0,MIN,PF,81.0,3131.0,19.0,6.7,0.103,2.6,4.2,1.7,1.2,0.5,2.9,0.526,27.5,1997,1996-97
Doug Christie,26.0,TOR,SG,81.0,3127.0,15.1,7.0,0.107,3.3,3.6,1.7,0.0,1.7,2.9,0.543,18.4,1997,1996-97
Mitch Richmond,31.0,SAC,SG,81.0,3125.0,21.6,10.8,0.166,8.7,2.1,4.6,5.2,-0.6,5.2,0.578,29.4,1997,1996-97
Glenn Robinson,24.0,MIL,SF,80.0,3114.0,17.5,4.7,0.072,2.0,2.7,0.7,1.3,-0.7,2.1,0.528,27.8,1997,1996-97
Michael Jordan,33.0,CHI,SG,82.0,3106.0,27.8,18.3,0.283,13.3,5.0,8.9,7.8,1.1,8.6,0.567,33.2,1997,1996-97
Scottie Pippen,31.0,CHI,SF,82.0,3095.0,21.3,13.1,0.203,7.8,5.2,5.7,4.3,1.4,6.1,0.554,24.6,1997,1996-97
Joe Smith,21.0,GSW,PF,80.0,3086.0,16.0,4.4,0.068,3.1,1.3,-2.3,-0.3,-2.0,-0.2,0.512,23.8,1997,1996-97
Kenny Anderson,26.0,POR,PG,82.0,3081.0,19.5,12.4,0.193,8.0,4.4,4.4,3.2,1.2,5.0,0.54,22.2,1997,1996-97
Clifford Robinson,30.0,POR,SF,81.0,3077.0,13.1,6.6,0.103,2.9,3.7,0.6,0.0,0.5,2.0,0.519,19.8,1997,1996-97
Mookie Blaylock,29.0,ATL,PG,78.0,3056.0,20.4,12.5,0.197,7.0,5.6,6.8,4.3,2.4,6.8,0.548,21.9,1997,1996-97
Mark Jackson,31.0,2TM,PG,82.0,3054.0,15.7,6.1,0.097,4.4,1.8,1.1,2.0,-0.9,2.4,0.525,15.5,1997,1996-97
Mark Jackson,31.0,DEN,PG,52.0,2001.0,16.2,4.0,0.097,3.6,0.5,0.7,2.2,-1.4,1.4,0.528,15.3,1997,1996-97
Mark Jackson,31.0,IND,PG,30.0,1053.0,14.8,2.1,0.096,0.8,1.3,1.8,1.7,0.1,1.0,0.519,15.9,1997,1996-97
Allen Iverson,21.0,PHI,PG,76.0,3045.0,18.0,4.1,0.065,3.1,1.0,0.9,2.5,-1.6,2.2,0.513,28.9,1997,1996-97
Lindsey Hunter,26.0,DET,PG,82.0,3023.0,13.4,6.4,0.101,3.0,3.4,0.5,0.0,0.5,1.9,0.515,20.1,1997,1996-97
Kerry Kittles,22.0,NJN,SG,82.0,3012.0,16.0,6.9,0.11,5.1,1.8,1.8,1.4,0.4,2.9,0.523,20.1,1997,1996-97
Karl Malone,33.0,UTA,PF,82.0,2998.0,28.9,16.7,0.268,11.6,5.1,8.3,7.1,1.2,7.8,0.6,32.7,1997,1996-97
Eddie Jones,25.0,LAL,SG,80.0,2998.0,17.3,9.6,0.154,5.3,4.3,3.3,1.5,1.9,4.0,0.559,20.9,1997,1996-97
Rod Strickland,30.0,WSB,PG,82.0,2997.0,19.7,8.8,0.141,5.5,3.3,2.7,2.8,0.0,3.6,0.533,23.9,1997,1996-97
Kevin Garnett,20.0,MIN,SF,77.0,2995.0,18.2,7.3,0.116,3.4,3.9,2.2,1.1,1.1,3.2,0.537,21.3,1997,1996-97
David Wesley,26.0,BOS,PG,74.0,2991.0,16.5,6.1,0.097,5.0,1.1,0.6,1.1,-0.6,1.9,0.563,18.8,1997,1996-97
Dikembe Mutombo,30.0,ATL,C,80.0,2973.0,19.0,11.3,0.183,4.7,6.6,2.6,0.3,2.4,3.5,0.584,17.4,1997,1996-97
Antoine Walker,20.0,BOS,PF,82.0,2970.0,15.5,1.7,0.027,0.0,1.7,-2.1,-0.3,-1.8,-0.1,0.474,25.2,1997,1996-97
Reggie Miller,31.0,IND,SG,81.0,2966.0,20.2,12.3,0.2,9.6,2.7,5.8,5.8,0.0,5.8,0.603,25.2,1997,1996-97
Clarence Weatherspoon,26.0,PHI,SF,82.0,2949.0,14.2,5.0,0.081,3.4,1.6,-1.2,-0.6,-0.6,0.6,0.537,15.3,1997,1996-97
Dale Ellis,36.0,DEN,SF,82.0,2940.0,12.9,3.1,0.051,3.2,0.0,-1.9,0.4,-2.3,0.0,0.537,21.5,1997,1996-97
Nick Van Exel,25.0,LAL,PG,79.0,2937.0,16.0,7.2,0.118,5.0,2.2,1.1,2.9,-1.8,2.3,0.518,21.0,1997,1996-97
Joe Dumars,33.0,DET,SG,79.0,2923.0,15.6,8.8,0.144,6.8,2.0,1.6,2.6,-1.0,2.7,0.586,18.9,1997,1996-97
John Stockton,34.0,UTA,PG,82.0,2896.0,22.1,13.6,0.226,10.0,3.6,6.6,5.6,1.0,6.3,0.656,18.4,1997,1996-97
Olden Polynice,32.0,SAC,C,82.0,2893.0,13.1,3.3,0.055,0.6,2.7,-2.8,-1.8,-1.0,-0.6,0.476,19.3,1997,1996-97
Patrick Ewing,34.0,NYK,C,78.0,2887.0,21.3,9.8,0.163,2.9,6.9,2.8,0.9,1.9,3.5,0.548,29.8,1997,1996-97
Charles Oakley,33.0,NYK,PF,80.0,2873.0,14.2,8.9,0.149,3.1,5.8,1.7,-0.4,2.1,2.7,0.545,15.4,1997,1996-97
Terrell Brandon,26.0,CLE,PG,78.0,2868.0,21.5,10.8,0.181,6.2,4.7,5.6,4.2,1.5,5.5,0.526,28.3,1997,1996-97
