player_name,team,salary_usd,season_end_year,season_label
Kevin Garnett,Minnesota Timberwolves,19600000.0,2001,2000-01
Shaquille O'Neal,Los Angeles Lakers,19285000.0,2001,2000-01
Alonzo Mourning,Miami Heat,16879000.0,2001,2000-01
Juwan Howard,Dallas Mavericks,16875000.0,2001,2000-01
Hakeem Olajuwon,Houston Rockets,16685000.0,2001,2000-01
Karl Malone,Utah Jazz,15750000.0,2001,2000-01
Dikembe Mutombo,Philadelphia 76ers,14422000.0,2001,2000-01
Patrick Ewing,Seattle SuperSonics,14000000.0,2001,2000-01
David Robinson,San Antonio Spurs,13196000.0,2001,2000-01
Scottie Pippen,Portland Trail Blazers,13151000.0,2001,2000-01
Rasheed Wallace,Portland Trail Blazers,12600000.0,2001,2000-01
Larry Johnson,New York Knicks,12485000.0,2001,2000-01
Gary Payton,Seattle SuperSonics,12200000.0,2001,2000-01
Tim Hardaway,Miami Heat,12000000.0,2001,2000-01
Chris Webber,Sacramento Kings,12000000.0,2001,2000-01
Shawn Kemp,Portland Trail Blazers,11720000.0,2001,2000-01
Damon Stoudamire,Portland Trail Blazers,11250000.0,2001,2000-01
John Stockton,Utah Jazz,11000000.0,2001,2000-01
Antonio McDyess,Denver Nuggets,10800000.0,2001,2000-01
Reggie Miller,Indiana Pacers,10666000.0,2001,2000-01
Arvydas Sabonis,Portland Trail Blazers,10636000.0,2001,2000-01
Zydrunas Ilgauskas,Cleveland Cavaliers,10130000.0,2001,2000-01
Anfernee Hardaway,Phoenix Suns,10130000.0,2001,2000-01
Stephon Marbury,New Jersey Nets,10130000.0,2001,2000-01
Antoine Walker,Boston Celtics,10125000.0,2001,2000-01
Shareef Abdur-Rahim,Vancouver Grizzlies,10125000.0,2001,2000-01
Allen Iverson,Philadelphia 76ers,10125000.0,2001,2000-01
Latrell Sprewell,New York Knicks,10125000.0,2001,2000-01
Vin Baker,Seattle SuperSonics,10125000.0,2001,2000-01
Ray Allen,Milwaukee Bucks,10125000.0,2001,2000-01
Kobe Bryant,Los Angeles Lakers,10125000.0,2001,2000-01
Bryant Reeves,Vancouver Grizzlies,10110000.0,2001,2000-01
Tracy McGrady,Orlando Magic,9658000.0,2001,2000-01
Tim Duncan,San Antonio Spurs,9658000.0,2001,2000-01
Jalen Rose,Indiana Pacers,9658000.0,2001,2000-01
Grant Hill,Orlando Magic,9658000.0,2001,2000-01
Vlade Divac,Sacramento Kings,9641000.0,2001,2000-01
Tom Gugliotta,Phoenix Suns,9336000.0,2001,2000-01
Allan Houston,New York Knicks,9000000.0,2001,2000-01
Keith Van Horn,New Jersey Nets,9000000.0,2001,2000-01
Eddie Jones,Miami Heat,8960000.0,2001,2000-01
Brian Grant,Miami Heat,8897000.0,2001,2000-01
Tim Thomas,Milwaukee Bucks,8507000.0,2001,2000-01
Michael Finley,Dallas Mavericks,8400000.0,2001,2000-01
Shawn Bradley,Dallas Mavericks,8370000.0,2001,2000-01
Terrell Brandon,Minnesota Timberwolves,8325000.0,2001,2000-01
Nick Van Exel,Denver Nuggets,8184000.0,2001,2000-01
Glenn Robinson,Milwaukee Bucks,8120000.0,2001,2000-01
Steve Smith,Portland Trail Blazers,8100000.0,2001,2000-01
Elden Campbell,Charlotte Hornets,8050000.0,2001,2000-01
Derrick Coleman,Charlotte Hornets,8040000.0,2001,2000-01
Avery Johnson,San Antonio Spurs,8000000.0,2001,2000-01
Horace Grant,Los Angeles Lakers,7843000.0,2001,2000-01
Theo Ratliff,Philadelphia 76ers,7800000.0,2001,2000-01
Jason Kidd,Phoenix Suns,7630000.0,2001,2000-01
Glen Rice,New York Knicks,7578000.0,2001,2000-01
Kenny Anderson,Boston Celtics,7520000.0,2001,2000-01
Matt Geiger,Philadelphia 76ers,7515000.0,2001,2000-01
Tyrone Hill,Philadelphia 76ers,7415000.0,2001,2000-01
Toni Kukoc,Atlanta Hawks,7167000.0,2001,2000-01
Clifford Robinson,Phoenix Suns,6890000.0,2001,2000-01
Christian Laettner,Washington Wizards,6625000.0,2001,2000-01
Chris Dudley,Phoenix Suns,6200000.0,2001,2000-01
Jamal Mashburn,Charlotte Hornets,6200000.0,2001,2000-01
Dale Davis,Portland Trail Blazers,6175000.0,2001,2000-01
Alan Henderson,Atlanta Hawks,5909000.0,2001,2000-01
P.J. Brown,Charlotte Hornets,5764000.0,2001,2000-01
Luc Longley,New York Knicks,5750000.0,2001,2000-01
Marcus Camby,New York Knicks,5750000.0,2001,2000-01
Jermaine O'Neal,Indiana Pacers,5700000.0,2001,2000-01
Donyell Marshall,Utah Jazz,5630000.0,2001,2000-01
Bryant Stith,Boston Celtics,5620000.0,2001,2000-01
Erick Dampier,Golden State Warriors,5611000.0,2001,2000-01
Wesley Person,Cleveland Cavaliers,5600000.0,2001,2000-01
Anthony Mason,Miami Heat,5553000.0,2001,2000-01
Ron Mercer,Chicago Bulls,5515000.0,2001,2000-01
Isaac Austin,Vancouver Grizzlies,5500000.0,2001,2000-01
Antonio Davis,Toronto Raptors,5500000.0,2001,2000-01
Steve Nash,Dallas Mavericks,5500000.0,2001,2000-01
Derrick McKey,Indiana Pacers,5400000.0,2001,2000-01
Kelvin Cato,Houston Rockets,5400000.0,2001,2000-01
Jim Mcilvaine,New Jersey Nets,5400000.0,2001,2000-01
Sean Elliott,San Antonio Spurs,5333000.0,2001,2000-01
Robert Horry,Los Angeles Lakers,5300000.0,2001,2000-01
Austin Croshere,Indiana Pacers,5298000.0,2001,2000-01
Greg Ostertag,Utah Jazz,5200000.0,2001,2000-01
Jerry Stackhouse,Detroit Pistons,5000000.0,2001,2000-01
Charlie Ward,New York Knicks,5000000.0,2001,2000-01
Lorenzen Wright,Atlanta Hawks,4950000.0,2001,2000-01
Loy Vaught,Washington Wizards,4812000.0,2001,2000-01
Mookie Blaylock,Golden State Warriors,4800000.0,2001,2000-01
Chris Mills,Golden State Warriors,4800000.0,2001,2000-01
Chris Childs,Toronto Raptors,4680000.0,2001,2000-01
Bryon Russell,Utah Jazz,4570000.0,2001,2000-01
Bo Outlaw,Orlando Magic,4500000.0,2001,2000-01
Walt Williams,Houston Rockets,4500000.0,2001,2000-01
Tariq Abdul-Wahad,Denver Nuggets,4500000.0,2001,2000-01
Bob Sura,Golden State Warriors,4386000.0,2001,2000-01
Jason Caffey,Milwaukee Bucks,4375000.0,2001,2000-01
